Date,Open,High,Low,Close,Volume,Market Cap,Year,Month
2016-07-15,659.17,667.08,659.04,663.25,81673100.0,10387900000.0,2016,7
2016-07-16,663.78,666.46,659.33,660.77,50330200.0,10461700000.0,2016,7
2016-07-17,661.99,682.37,661.99,679.46,74407900.0,10434700000.0,2016,7
2016-07-18,679.81,681.55,668.63,673.11,69465000.0,10716800000.0,2016,7
2016-07-19,672.74,673.28,667.63,672.86,61203300.0,10606500000.0,2016,7
2016-07-20,672.81,672.93,663.36,665.68,94636400.0,10608600000.0,2016,7
2016-07-21,665.23,666.22,660.41,665.01,60491800.0,10490300000.0,2016,7
2016-07-22,664.92,666.58,646.72,650.62,134169000.0,10486600000.0,2016,7
2016-07-23,650.73,656.37,648.52,655.56,69532200.0,10263700000.0,2016,7
2016-07-24,655.41,663.11,652.79,661.28,118184000.0,10338600000.0,2016,7
2016-07-25,661.26,661.83,653.39,654.1,78176500.0,10431900000.0,2016,7
2016-07-26,654.23,656.23,645.88,651.78,225135000.0,10321900000.0,2016,7
2016-07-27,651.63,657.46,648.45,654.35,147461000.0,10281900000.0,2016,7
2016-07-28,654.49,657.6,654.49,655.03,86428400.0,10328100000.0,2016,7
2016-07-29,655.11,657.8,654.79,656.99,60703500.0,10338900000.0,2016,7
2016-07-30,657.01,658.22,654.21,655.05,38456100.0,10370100000.0,2016,7
2016-07-31,655.1,655.28,624.37,624.68,110818000.0,10340900000.0,2016,7
2016-08-01,624.6,626.12,605.88,606.27,121887000.0,9860620000.0,2016,8
2016-08-02,606.4,612.85,531.33,547.47,330933000.0,9574320000.0,2016,8
2016-08-03,548.66,573.36,541.55,566.36,207982000.0,8663670000.0,2016,8
2016-08-04,566.33,579.5,565.78,578.29,125292000.0,8943870000.0,2016,8
2016-08-05,578.28,578.28,569.98,575.04,66127900.0,9133690000.0,2016,8
2016-08-06,575.03,588.4,569.47,587.78,80797300.0,9083510000.0,2016,8
2016-08-07,587.77,597.51,586.82,592.69,82398400.0,9285940000.0,2016,8
2016-08-08,592.74,592.99,588.05,591.05,61194100.0,9365440000.0,2016,8
2016-08-09,591.04,591.09,584.79,587.8,92228100.0,9339660000.0,2016,8
2016-08-10,587.65,599.98,586.37,592.1,102905000.0,9286960000.0,2016,8
2016-08-11,592.12,597.54,589.12,589.12,74514400.0,9358770000.0,2016,8
2016-08-12,588.8,589.91,583.81,587.56,69218000.0,9307250000.0,2016,8
2016-08-13,587.36,589.77,584.98,585.59,43563000.0,9285530000.0,2016,8
2016-08-14,585.59,585.67,564.78,570.47,60851100.0,9258730000.0,2016,8
2016-08-15,570.49,573.58,563.24,567.24,57262300.0,9021180000.0,2016,8
2016-08-16,567.24,581.74,566.72,577.44,58405200.0,8970770000.0,2016,8
2016-08-17,577.76,580.89,571.43,573.22,54443000.0,9138030000.0,2016,8
2016-08-18,573.71,577.79,573.43,574.32,59896600.0,9074760000.0,2016,8
2016-08-19,574.34,578.24,574.18,575.63,50631600.0,9085820000.0,2016,8
2016-08-20,576.08,582.82,575.46,581.7,45301400.0,9114500000.0,2016,8
2016-08-21,581.94,584.16,580.22,581.31,38299400.0,9208210000.0,2016,8
2016-08-22,581.31,588.45,580.59,586.75,72844000.0,9199410000.0,2016,8
2016-08-23,586.77,589.47,581.63,583.41,85349200.0,9286930000.0,2016,8
2016-08-24,583.41,583.59,579.86,580.18,56328200.0,9234800000.0,2016,8
2016-08-25,580.18,580.45,575.17,577.76,136130000.0,9184700000.0,2016,8
2016-08-26,577.75,580.62,576.86,579.65,48856800.0,9147170000.0,2016,8
2016-08-27,579.45,579.85,568.63,569.95,59698300.0,9174990000.0,2016,8
2016-08-28,569.83,574.04,569.74,573.91,86301600.0,9023610000.0,2016,8
2016-08-29,574.07,576.28,573.47,574.11,110398000.0,9091830000.0,2016,8
2016-08-30,574.11,578.36,574.11,577.5,70342400.0,9093530000.0,2016,8
2016-08-31,577.59,577.86,573.64,575.47,75840900.0,9149730000.0,2016,8
2016-09-01,575.55,576.31,571.81,572.3,76923400.0,9118280000.0,2016,9
2016-09-02,572.41,575.64,570.81,575.54,79910800.0,9069550000.0,2016,9
2016-09-03,575.55,599.5,574.06,598.21,159014000.0,9120440000.0,2016,9
2016-09-04,598.59,611.84,596.85,608.63,97942900.0,9486370000.0,2016,9
2016-09-05,608.99,609.05,602.24,606.59,82446800.0,9652490000.0,2016,9
2016-09-06,606.51,610.83,605.09,610.44,78529100.0,9614140000.0,2016,9
2016-09-07,610.57,614.54,608.51,614.54,75032400.0,9679610000.0,2016,9
2016-09-08,614.63,628.77,613.84,626.32,86713000.0,9745120000.0,2016,9
2016-09-09,626.35,626.83,620.26,622.86,64550200.0,9931980000.0,2016,9
2016-09-10,622.93,625.1,622.39,623.51,45016800.0,9878730000.0,2016,9
2016-09-11,623.42,628.82,600.51,606.72,73610800.0,9887780000.0,2016,9
2016-09-12,607.0,608.46,605.41,608.24,72812300.0,9628560000.0,2016,9
2016-09-13,608.02,611.19,606.92,609.24,86920600.0,9645930000.0,2016,9
2016-09-14,608.84,611.95,608.41,610.68,47877700.0,9660080000.0,2016,9
2016-09-15,610.59,611.09,607.15,607.15,59464600.0,9688940000.0,2016,9
2016-09-16,607.25,609.26,606.74,606.97,64963400.0,9637020000.0,2016,9
2016-09-17,607.22,607.86,605.19,605.98,37140300.0,9637600000.0,2016,9
2016-09-18,606.28,610.16,605.86,609.87,48679400.0,9623950000.0,2016,9
2016-09-19,609.87,610.93,608.27,609.23,54796400.0,9681960000.0,2016,9
2016-09-20,609.25,609.52,607.94,608.31,72710900.0,9673140000.0,2016,9
2016-09-21,603.59,603.59,595.88,597.15,82776200.0,9584260000.0,2016,9
2016-09-22,597.28,598.49,596.21,596.3,67085300.0,9485280000.0,2016,9
2016-09-23,596.2,603.21,595.79,602.84,51067000.0,9469130000.0,2016,9
2016-09-24,602.96,604.58,602.04,602.63,35359500.0,9577520000.0,2016,9
2016-09-25,602.75,603.38,599.71,600.83,33977800.0,9575360000.0,2016,9
2016-09-26,600.81,608.14,600.35,608.04,59153800.0,9545830000.0,2016,9
2016-09-27,608.02,608.25,604.11,606.17,49422400.0,9661590000.0,2016,9
2016-09-28,606.24,606.59,604.61,604.73,48722600.0,9634530000.0,2016,9
2016-09-29,605.02,606.82,604.85,605.69,55658600.0,9616160000.0,2016,9
2016-09-30,605.72,609.74,604.14,609.74,56122400.0,9628250000.0,2016,9
2016-10-01,609.93,615.24,609.93,613.98,56357000.0,9696280000.0,2016,10
2016-10-02,613.95,614.0,609.68,610.89,39249800.0,9761330000.0,2016,10
2016-10-03,610.97,612.57,610.46,612.13,46798300.0,9714980000.0,2016,10
2016-10-04,612.05,612.05,609.48,610.2,49801600.0,9733330000.0,2016,10
2016-10-05,610.22,613.81,609.62,612.51,68077500.0,9705320000.0,2016,10
2016-10-06,612.47,613.82,611.47,613.02,56812100.0,9742370000.0,2016,10
2016-10-07,612.61,617.91,611.82,617.12,64071400.0,9745740000.0,2016,10
2016-10-08,617.34,619.85,617.34,619.11,42345900.0,9822100000.0,2016,10
2016-10-09,619.17,619.2,616.61,616.75,39243400.0,9852480000.0,2016,10
2016-10-10,616.82,621.32,616.2,618.99,67481100.0,9816270000.0,2016,10
2016-10-11,619.24,642.08,618.5,641.07,103590000.0,9855650000.0,2016,10
2016-10-12,640.87,641.34,635.97,636.19,92370200.0,10201000000.0,2016,10
2016-10-13,636.03,638.83,635.03,636.79,61620700.0,10125100000.0,2016,10
2016-10-14,637.01,641.28,637.01,640.38,58144600.0,10141600000.0,2016,10
2016-10-15,640.31,642.1,637.39,638.65,39035400.0,10195200000.0,2016,10
